name,count,count_2012,names
Margarita,38685,81095.0,Margarita
Elnora,21094,81093.0,Elnora
Makayla,89249,80529.0,Makayla
Sonya,64131,79771.0,Sonya
Elsa,25205,79661.0,Elsa
Louisa,17285,79112.0,Louisa
Lucia,34308,78249.0,Lucia
Letha,19091,78127.0,Letha
Ila,21229,77797.0,Ila
Gabriela,71681,77158.0,Gabriela
Lelia,15244,76872.0,Lelia
Neva,20269,76688.0,Neva
Nola,20904,76593.0,Nola
Belinda,70852,76165.0,Belinda
Melba,34810,75680.0,Melba
Carolina,38510,75112.0,Carolina
Willa,23319,73120.0,Willa
Aurora,35177,72638.0,Aurora
Breanna,78946,72618.0,Breanna
Cara,49518,72084.0,Cara
Maya,71575,71726.0,Maya
Bianca,67450,71578.0,Bianca
Ariana,72910,71377.0,Ariana
Elisa,38806,70667.0,Elisa
Dena,31986,70602.0,Dena
Glenna,25507,70565.0,Glenna
Ophelia,15567,70003.0,Ophelia
Tabitha,56310,69200.0,Tabitha
Zelma,16668,69013.0,Zelma
Bella,37028,68975.0,Bella
Anastasia,35031,68325.0,Anastasia
Nona,16400,67955.0,Nona
Juliana,46131,67918.0,Juliana
Dianna,55100,67662.0,Dianna
Clarissa,36227,67495.0,Clarissa
Selena,44073,67306.0,Selena
Lana,46715,66680.0,Lana
Malinda,20434,66406.0,Malinda
Minerva,14878,66296.0,Minerva
Odessa,17158,64807.0,Odessa
Myrna,31514,64605.0,Myrna
Serena,37109,64545.0,Serena
Carmela,22663,64525.0,Carmela
Cristina,49847,64461.0,Cristina
Lorna,27996,64178.0,Lorna
Zella,11563,63983.0,Zella
Arianna,66180,63971.0,Arianna
Dona,18806,63881.0,Dona
Bonita,37649,63525.0,Bonita
Wilhelmina,11523,63367.0,Wilhelmina
Louella,12831,61935.0,Louella
Mina,13479,61706.0,Mina
Natalia,49565,61644.0,Natalia
Rosella,15194,61642.0,Rosella
Alisha,53766,61498.0,Alisha
Lea,28889,60155.0,Lea
Jada,58856,59073.0,Jada
Karina,54526,58991.0,Karina
Alvina,10214,58293.0,Alvina
Alana,47334,58100.0,Alana
Hanna,34167,57890.0,Hanna
Lura,9428,57700.0,Lura
Marisa,47666,57463.0,Marisa
Sonja,38531,57408.0,Sonja
Marietta,14634,56911.0,Marietta
Althea,16069,56725.0,Althea
Leta,11768,56662.0,Leta
Jana,43107,56457.0,Jana
Lona,10714,56112.0,Lona
Oma,9578,55745.0,Oma
Susanna,17707,55507.0,Susanna
Leota,10391,55501.0,Leota
Mathilda,7052,54896.0,Mathilda
Lina,14066,54733.0,Lina
Shawna,45148,54710.0,Shawna
Marina,33705,54382.0,Marina
Daniela,50564,54332.0,Daniela
Shelia,47679,54092.0,Shelia
Leticia,41220,54019.0,Leticia
Darla,41260,53666.0,Darla
Greta,22435,53530.0,Greta
Iona,11452,53183.0,Iona
Alejandra,46135,53147.0,Alejandra
Leora,10685,52993.0,Leora
Magdalena,16179,52422.0,Magdalena
Michaela,46525,51937.0,Michaela
Nelda,20079,51930.0,Nelda
Carmella,18564,51789.0,Carmella
Marla,37809,51638.0,Marla
Rhea,14665,51505.0,Rhea
Cordelia,9736,51305.0,Cordelia
Camilla,17402,51272.0,Camilla
Octavia,14698,50992.0,Octavia
Erna,9036,50860.0,Erna
Vida,9841,50688.0,Vida
Esmeralda,40696,50671.0,Esmeralda
Wilda,12743,50316.0,Wilda
Iola,9548,50290.0,Iola
Reva,15225,50048.0,Reva
Edwina,15386,49845.0,Edwina
Emilia,19472,49748.0,Emilia
Vesta,8109,49609.0,Vesta
Dina,29763,49512.0,Dina
Hulda,5406,49150.0,Hulda
Trisha,39334,48944.0,Trisha
Aurelia,11013,48930.0,Aurelia
Layla,49002,48915.0,Layla
Ursula,14411,48880.0,Ursula
Juana,16902,48837.0,Juana
Audra,23634,48786.0,Audra
Tessa,39966,48671.0,Tessa
Latoya,45363,48293.0,Latoya
Meta,6152,48197.0,Meta
Nita,14123,48192.0,Nita
Vada,9263,47965.0,Vada
Gianna,47525,47821.0,Gianna
Lauretta,9577,47790.0,Lauretta
Tricia,39977,47601.0,Tricia
Alpha,7106,47486.0,Alpha
Sondra,27016,47463.0,Sondra
Ona,7549,47253.0,Ona
Melva,14133,47211.0,Melva
Leanna,21611,46928.0,Leanna
Lucretia,10402,46703.0,Lucretia
Mikayla,47813,46282.0,Mikayla
Petra,12527,46169.0,Petra
Julianna,35443,46120.0,Julianna
Concetta,14056,45950.0,Concetta
Rowena,10147,45720.0,Rowena
Alva,8559,45667.0,Alva
Zelda,11574,45553.0,Zelda
Christa,32283,45313.0,Christa
Agatha,8197,45143.0,Agatha
Liza,16043,44929.0,Liza
Orpha,5944,44895.0,Orpha
Lida,5770,44809.0,Lida
Verda,8061,44612.0,Verda
Nadia,36377,44576.0,Nadia
Martina,16488,44495.0,Martina
Adela,11450,44379.0,Adela
Georgiana,8573,44354.0,Georgiana
Zora,6982,44315.0,Zora
Elda,8766,44125.0,Elda
Alissa,35986,44112.0,Alissa
Rosanna,13710,44070.0,Rosanna
Liliana,39462,43971.0,Liliana
Ronda,34282,43907.0,Ronda
Adrianna,38799,43773.0,Adrianna
Winona,10710,43642.0,Winona
Una,7432,43345.0,Una
Trina,32285,43238.0,Trina
Mariana,30778,43213.0,Mariana
India,20806,43194.0,India
Letitia,11374,43152.0,Letitia
Kiara,43256,43140.0,Kiara
Belva,7954,43095.0,Belva
Yesenia,37473,42998.0,Yesenia
Philomena,8857,42909.0,Philomena
Tasha,35292,42717.0,Tasha
Georgianna,8910,42684.0,Georgianna
Veda,10055,42445.0,Veda
Berta,7200,41982.0,Berta
Francisca,11900,41789.0,Francisca
Georgina,14704,41768.0,Georgina
Freida,10527,41753.0,Freida
Mya,42304,41667.0,Mya
Ladonna,21155,41488.0,Ladonna
Alisa,31955,41393.0,Alisa
Alexia,37457,41233.0,Alexia
Retha,10585,40945.0,Retha
Tia,31719,40932.0,Tia
Idella,6441,40567.0,Idella
Melvina,6614,40208.0,Melvina
Golda,5795,39586.0,Golda
Shauna,27815,39363.0,Shauna
Kyla,34296,39348.0,Kyla
